<NUMBER OF ZONES> 12											
<NUMBER OF NODES> 12											
<FIRST THRU NODE> 1											
<NUMBER OF LINKS> 14											
<END OF METADATA>											


~ 	Init node 	Term node 	Capacity 	Length 	Free Flow Time 	B	Power	Speed limit 	Toll 	Type	;
	1	3	8000	4	4	0.15	4	0	0	1	;
	2	3	9000	6	6	0.15	4	0	0	1	;
	3	4	7000	5	5	0.15	4	0	0	1	;
	3	5	9000	7	7	0.15	4	0	0	1	;
	4	5	10000	1	1	0.15	4	0	0	1	;
	4	6	10000	6	6	0.15	4	0	0	1	;
	5	6	8000	3	3	0.15	4	0	0	1	;
	6	7	7000	5	5	0.15	4	0	0	1	;
	6	8	9000	7	7	0.15	4	0	0	1	;
	7	9	10000	6	6	0.15	4	0	0	1	;
	8	9	8000	9	9	0.15	4	0	0	1	;
	9	10	10000	5	5	0.15	4	0	0	1	;
	9	11	11000	7	7	0.15	4	0	0	1	;
	12	4	10000	5	5	0.15	4	0	0	1	;
