node	X	Y
1	130.7403409	374.2465909
2	129.4789773	373.6789773
3	131.3079545	371.85
4	129.9835227	370.9039773
5	131.9386364	368.6965909
6	127.1454545	372.7329545
7	128.0914773	370.6517045
8	124.18125	372.54375
9	122.9829545	369.8318182
10	126.0732955	369.1380682
11	126.1994318	366.1738636
12	128.0914773	366.5522727
13	128.4068182	364.4710227
14	128.7221591	368.5073864
15	130.4880682	366.6784091
16	131.11875	364.7232955
17	132.7585227	366.5522727
18	133.1369318	365.0386364
19	133.3892045	363.525
20	128.5329545	362.2636364
21	130.9926136	363.2096591
22	133.5784091	361.9482955
23	131.4340909	361.0653409
24	128.7221591	360.75
25	125.7579545	358.66875
26	128.9113636	358.1642045
27	131.6232955	357.9119318
28	134.0198864	359.8670455
29	134.6505682	356.9028409
30	128.8482955	355.7045455
31	131.8755682	354.8846591
32	130.6142045	352.6142045
33	133.6414773	350.5960227
34	133.7045455	353.2448864
35	136.8579545	355.3261364
36	137.0471591	351.5420455
37	118.4420455	372.1653409
38	104.2517045	381.4363636
39	111.7568182	382.8238636
40	108.6034091	382.8238636
41	111.7568182	379.7965909
42	108.6664773	379.7965909
43	117.8744318	382.7607955
44	114.7840909	382.8238636
45	117.8744318	379.7965909
46	114.7210227	379.6704545
47	123.9289773	382.8238636
48	120.9017045	382.8238636
49	123.8659091	379.7965909
50	120.9017045	379.7965909
51	126.5147727	382.6346591
52	129.5420455	379.0397727
53	126.95625	379.6704545
54	104.4409091	376.9585227
55	101.2875	376.8323864
56	104.4409091	374.2465909
57	101.2875	374.2465909
58	110.3693182	377.1477273
59	107.4051136	377.0215909
60	110.3693182	374.5619318
61	107.4051136	374.4357955
62	116.1715909	377.2107955
63	113.2704545	377.1477273
64	116.1715909	374.625
65	113.3335227	374.5619318
66	122.1	377.2738636
67	119.1357955	377.2738636
68	122.1	374.8772727
69	119.1988636	374.8142045
70	128.34375	377.2107955
71	125.1272727	377.3369318
72	128.2176136	375.2556818
73	125.1903409	375.2556818
74	130.2988636	377.2738636
75	130.2988636	375.8232955
76	120.3971591	371.7869318
77	119.1357955	368.6965909
78	122.1630682	368.38125
79	123.1090909	370.9670455
80	122.3522727	365.60625
81	119.1988636	365.5431818
82	122.3522727	362.6420455
83	119.3880682	362.4528409
84	124.4965909	365.6693182
85	125.56875	362.6420455
86	122.5414773	359.5517045
87	119.5142045	359.4255682
88	122.5414773	356.4613636
89	119.5142045	356.3352273
90	125.4426136	360.3715909
91	125.56875	356.4613636
92	115.1625	349.8392045
93	122.6676136	353.4340909
94	119.6403409	353.3079545
95	122.7306818	350.2806818
96	119.7664773	350.2806818
97	128.6590909	354.0017045
98	125.6948864	353.4971591
99	128.9113636	349.8392045
100	125.7579545	350.4068182
101	131.4971591	349.65
102	122.79375	347.1903409
103	119.8926136	347.1272727
104	122.9829545	344.1630682
105	119.8295455	344.1
106	129.0375	347.3795455
107	125.8840909	347.3795455
108	129.1005682	344.2892045
109	126.0102273	344.1630682
110	135.28125	347.3795455
111	132.1909091	347.5056818
112	135.3443182	344.2261364
113	132.2539773	344.2261364
114	137.6778409	347.3795455
115	137.7409091	344.2892045
116	129.1636364	341.1357955
117	126.1994318	341.1357955
118	129.2897727	338.0454545
119	126.2625	338.0454545
120	135.3443182	341.1357955
121	132.2539773	341.1357955
122	135.4073864	338.1085227
123	132.3170455	338.1085227
124	137.8039773	339.8744318
125	104.3147727	371.2823864
126	101.3505682	371.0931818
127	104.4409091	368.1920455
128	101.2875	368.0028409
129	110.2431818	371.3454545
130	107.4051136	371.2193182
131	110.3693182	368.4443182
132	107.4051136	368.2551136
133	115.5409091	371.5346591
134	113.2704545	371.5346591
135	116.1715909	368.4443182
136	113.1443182	368.38125
137	104.3147727	364.9755682
138	101.2875	364.9755682
139	104.2517045	362.0744318
140	101.3505682	361.9482955
141	110.30625	365.2909091
142	107.4051136	365.1647727
143	110.30625	362.2636364
144	107.4051136	362.0744318
145	116.1715909	365.4801136
146	113.3335227	365.2909091
147	116.3607955	362.3267045
148	113.2704545	362.2636364
149	104.3147727	358.9210227
150	101.2244318	358.9210227
151	104.3778409	355.89375
152	101.2875	355.7676136
153	110.3693182	359.0471591
154	107.4051136	359.0471591
155	110.4323864	356.0829545
156	107.4681818	355.89375
157	116.3607955	359.1732955
158	113.3965909	359.1732955
159	116.4869318	356.3352273
160	113.4596591	356.2090909
161	114.9102273	353.1818182
162	85.96193182	381.3732955
163	92.01647727	381.3732955
164	99.58465909	382.8238636
165	96.55738636	382.95
166	99.64772727	379.8596591
167	96.49431818	379.7965909
168	84.95284091	375.4448864
169	90.81818182	375.4448864
170	98.26022727	376.8323864
171	95.29602273	376.70625
172	98.19715909	374.1204545
173	95.29602273	374.1204545
174	85.01590909	369.4534091
175	90.81818182	369.5795455
176	98.38636364	370.9670455
177	95.29602273	371.0301136
178	98.26022727	368.0028409
179	95.35909091	367.8136364
180	84.95284091	363.3357955
181	90.88125	363.525
182	98.26022727	364.9125
183	95.35909091	364.7863636
184	98.32329545	361.8852273
185	95.23295455	361.8221591
186	84.95284091	357.28125
187	90.94431818	357.4704545
188	98.32329545	358.7948864
189	95.42215909	358.7318182
190	98.32329545	355.7676136
191	95.42215909	355.5784091
192	105.0715909	405.7176136
193	111.6306818	406.9789773
194	108.4772727	406.8528409
195	111.69375	404.2039773
196	108.7295455	404.1409091
197	116.3607955	405.6545455
198	121.7846591	406.9159091
199	121.7215909	404.1409091
200	105.2607955	399.7261364
201	111.7568182	401.0505682
202	108.6034091	401.0505682
203	111.7568182	398.1494318
204	108.6034091	398.0863636
205	118.0005682	400.9244318
206	114.8471591	401.0505682
