Node	X	Y	;
1	9.46969697	96.59090909	;
2	60.60606061	96.59090909	;
3	9.46969697	83.33333333	;
4	24.62121212	83.33333333	;
5	41.66666667	83.33333333	;
6	60.60606061	83.33333333	;
7	79.54545455	71.96969697	;
8	60.60606061	71.96969697	;
9	41.66666667	71.96969697	;
10	41.66666667	60.60606061	;
11	24.62121212	60.60606061	;
12	9.46969697	60.60606061	;
13	9.46969697	9.46969697	;
14	24.62121212	35.98484848	;
15	41.66666667	35.98484848	;
16	60.60606061	60.60606061	;
17	60.60606061	49.24242424	;
18	79.54545455	60.60606061	;
19	60.60606061	35.98484848	;
20	60.60606061	9.46969697	;
21	41.66666667	9.46969697	;
22	41.66666667	24.62121212	;
23	24.62121212	24.62121212	;
24	24.62121212	9.46969697	;
