<NUMBER OF ZONES> 9											
<NUMBER OF NODES> 9											
<FIRST THRU NODE> 0											
<NUMBER OF LINKS> 18											
<END OF METADATA>											

~	tail node	head node	capacity (veh/h)	length (miles)	fftt(min)	B	Power	speed limit (mph)	toll (cents)	link type	
	1	5	12	1.00	5	0.15	4	0	0	3	;
	1	6	18	1.00	6	0.15	4	0	0	3	;
	2	5	35	1.00	3	0.15	4	0	0	3	;
	2	6	35	1.00	9	0.15	4	0	0	3	;
	5	6	20	1.00	9	0.15	4	0	0	3	;
	5	7	11	1.00	2	0.15	4	0	0	3	;
	5	9	26	1.00	8	0.15	4	0	0	3	;
	6	5	11	1.00	4	0.15	4	0	0	3	;
	6	8	33	1.00	6	0.15	4	0	0	3	;
	6	9	32	1.00	7	0.15	4	0	0	3	;
	7	3	25	1.00	3	0.15	4	0	0	3	;
	7	4	24	1.00	6	0.15	4	0	0	3	;
	7	8	19	1.00	2	0.15	4	0	0	3	;
	8	3	39	1.00	8	0.15	4	0	0	3	;
	8	4	43	1.00	6	0.15	4	0	0	3	;
	8	7	36	1.00	4	0.15	4	0	0	3	;
	9	7	26	1.00	4	0.15	4	0	0	3	;
	9	8	30	1.00	8	0.15	4	0	0	3	;
